is_odd_date,policy_range_time,Run,Finished,Idle,MeanTravelTime,Move,SimulationMinutes,StdTravelTime,ToOffice,ToResidence,number_of_cars,width,height,is_odd_even_policy_enabled
7_10_and_16_19,True,0,27,0,489.1333333333333,3,1440,392.44215992791715,0,0,30,100,100,True
7_10_and_16_19,True,1,27,0,510.4,3,1440,381.3762446718463,0,0,30,100,100,True
7_10_and_16_19,True,2,27,0,477.4,3,1440,396.19697121507636,0,0,30,100,100,True
7_10_and_16_19,True,3,27,0,485.2,3,1440,385.19764623718385,0,0,30,100,100,True
7_10_and_16_19,True,4,27,0,483.8666666666667,3,1440,382.71031109995226,0,0,30,100,100,True
7_10_and_16_19,False,5,27,0,500.46666666666664,3,1440,383.05114831079965,0,0,30,100,100,True
7_10_and_16_19,False,6,27,0,498.06666666666666,3,1440,385.4571254440052,0,0,30,100,100,True
7_10_and_16_19,False,7,28,0,482.6,2,1440,388.39915894176016,0,0,30,100,100,True
7_10_and_16_19,False,8,27,0,492.2,3,1440,385.144942413459,0,0,30,100,100,True
7_10_and_16_19,False,9,28,0,493.1333333333333,2,1440,382.5806000773635,0,0,30,100,100,True
8_11_and_17_20,True,10,27,0,484.26666666666665,3,1440,394.82746724219794,0,0,30,100,100,True
8_11_and_17_20,True,11,27,0,487.6,3,1440,384.0914474444855,0,0,30,100,100,True
8_11_and_17_20,True,12,27,0,503.26666666666665,3,1440,391.39800147107997,0,0,30,100,100,True
8_11_and_17_20,True,13,27,0,482.8666666666667,3,1440,409.4805435616637,0,0,30,100,100,True
8_11_and_17_20,True,14,27,0,492.4,3,1440,403.01047132797925,0,0,30,100,100,True
8_11_and_17_20,False,15,28,0,499.6,2,1440,400.5327785171479,0,0,30,100,100,True
8_11_and_17_20,False,16,27,0,512.0666666666667,3,1440,383.8622959112059,0,0,30,100,100,True
8_11_and_17_20,False,17,27,0,509.4,3,1440,409.61124659039007,0,0,30,100,100,True
8_11_and_17_20,False,18,27,0,532.0,3,1440,376.04574189850894,0,0,30,100,100,True
8_11_and_17_20,False,19,27,0,517.8666666666667,3,1440,388.838246861368,0,0,30,100,100,True
6_9_and_15_18,True,20,27,0,474.8,3,1440,394.0844579528607,0,0,30,100,100,True
6_9_and_15_18,True,21,27,0,481.3333333333333,3,1440,388.03035391004596,0,0,30,100,100,True
6_9_and_15_18,True,22,28,0,504.6333333333333,2,1440,383.30148998174036,0,0,30,100,100,True
6_9_and_15_18,True,23,27,0,497.6666666666667,3,1440,401.3411128814102,0,0,30,100,100,True
6_9_and_15_18,True,24,27,0,504.73333333333335,3,1440,394.90639678564617,0,0,30,100,100,True
6_9_and_15_18,False,25,27,0,487.73333333333335,3,1440,391.35924956773704,0,0,30,100,100,True
6_9_and_15_18,False,26,27,0,497.8666666666667,3,1440,394.17692587071724,0,0,30,100,100,True
6_9_and_15_18,False,27,27,0,494.23333333333335,3,1440,394.1397115519092,0,0,30,100,100,True
6_9_and_15_18,False,28,27,0,475.26666666666665,3,1440,395.9116006832277,0,0,30,100,100,True
6_9_and_15_18,False,29,27,0,484.06666666666666,3,1440,401.3608462330237,0,0,30,100,100,True
8_9_and_17_18,True,30,27,0,478.93333333333334,3,1440,401.5485801521682,0,0,30,100,100,True
8_9_and_17_18,True,31,28,0,488.3333333333333,2,1440,389.69358333040185,0,0,30,100,100,True
8_9_and_17_18,True,32,27,0,476.73333333333335,3,1440,394.383394962595,0,0,30,100,100,True
8_9_and_17_18,True,33,28,0,489.26666666666665,2,1440,398.3638147333275,0,0,30,100,100,True
8_9_and_17_18,True,34,28,0,473.56666666666666,2,1440,397.2965041656196,0,0,30,100,100,True
8_9_and_17_18,False,35,27,0,486.6666666666667,3,1440,383.8035377058887,0,0,30,100,100,True
8_9_and_17_18,False,36,27,0,477.3333333333333,3,1440,395.84115781740303,0,0,30,100,100,True
8_9_and_17_18,False,37,27,0,483.8666666666667,3,1440,397.7151185906258,0,0,30,100,100,True
8_9_and_17_18,False,38,27,0,481.8666666666667,3,1440,380.5662214239315,0,0,30,100,100,True
8_9_and_17_18,False,39,27,0,481.8,3,1440,382.74564225692586,0,0,30,100,100,True
6_11_and_15_20,True,40,28,0,510.2,2,1440,390.94154720793404,0,0,30,100,100,True
6_11_and_15_20,True,41,27,0,490.1333333333333,3,1440,392.2815088966369,0,0,30,100,100,True
6_11_and_15_20,True,42,27,0,494.26666666666665,3,1440,389.8214064015583,0,0,30,100,100,True
6_11_and_15_20,True,43,27,0,497.46666666666664,3,1440,389.2875315524788,0,0,30,100,100,True
6_11_and_15_20,True,44,27,0,518.4,3,1440,386.3937197557262,0,0,30,100,100,True
6_11_and_15_20,False,45,28,0,511.23333333333335,2,1440,371.72675299053856,0,0,30,100,100,True
6_11_and_15_20,False,46,28,0,517.4,2,1440,399.907706018943,0,0,30,100,100,True
6_11_and_15_20,False,47,25,0,488.4,5,1440,417.1568529941705,0,0,30,100,100,True
6_11_and_15_20,False,48,26,0,496.1333333333333,4,1440,401.3550160255742,0,0,30,100,100,True
6_11_and_15_20,False,49,27,0,485.1333333333333,3,1440,377.2336794201823,0,0,30,100,100,True
